RA,Nome Anonimizado,Idade,Gênero,Ano ingresso,Fase,Turma,Instituição de ensino,PEDRA_CLASSIFICACAO,INDE_2024_CLEAN,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Defasagem,Ativo/ Inativo,INDE 22,INDE 23,Pedra 22,Pedra 23,ANOS_NA_PM,RISCO_DEFASAGEM
RA-895,Aluno-895,9,Feminino,2023,ALFA,ALFA B - G2/G3,Pública,Topázio,8.2579575757,5.0,9.5,9.5454545455,9.502,6.26,7.5,8.113333333,-1,Cursando,,8.5397,,Topázio,1,0
RA-884,Aluno-884,8,Feminino,2023,ALFA,ALFA B - G2/G3,Pública,Topázio,8.0345030302,5.0,8.75,8.818181818,10.002,6.26,7.5,8.223333333,-1,Cursando,,8.4587,,Topázio,1,0
RA-1282,Aluno-1282,9,Feminino,2024,ALFA,ALFA B - G2/G3,Pública,Ametista,7.8769272727000015,5.0,9.25,8.1136363635,9.502,6.26,7.5,7.89,-1,Cursando,,,,,0,0
RA-889,Aluno-889,9,Masculino,2023,ALFA,ALFA B - G2/G3,Pública,Topázio,8.191290909100001,5.0,9.75,9.2954545455,8.502,6.26,7.5,8.28,-1,Cursando,,8.8092,,Topázio,1,0
RA-867,Aluno-867,9,Masculino,2023,ALFA,ALFA B - G2/G3,Pública,Ametista,7.583018181800001,5.0,8.5,7.409090909,9.002,7.51,7.5,7.5,-1,Cursando,,8.6992,,Topázio,1,0
RA-1283,Aluno-1283,10,Masculino,2024,ALFA,ALFA B - G2/G3,Pública,Topázio,8.3033538462,5.0,9.0,9.230769231,10.002,7.51,7.5,8.28,-2,Cursando,,,,,0,0
RA-891,Aluno-891,10,Feminino,2023,ALFA,ALFA B - G2/G3,Pública,Topázio,8.035957575700001,5.0,8.75,9.0454545455,10.002,6.26,7.5,8.003333333,-1,Cursando,,7.8882,,Ametista,1,0
RA-1284,Aluno-1284,8,Feminino,2024,ALFA,ALFA C - G0/G1,Pública,Topázio,8.3800152174,10.0,10.0,9.347826087,9.002,2.51,7.8125,7.89,0,Cursando,,,,,0,0
RA-1012,Aluno-1012,9,Feminino,2023,ALFA,ALFA C - G0/G1,Pública,Topázio,8.057128571400002,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,-1,Cursando,,7.96495,,Ametista,1,0
RA-1285,Aluno-1285,7,Feminino,2024,ALFA,ALFA C - G0/G1,Pública,Topázio,8.156578882000002,10.0,8.0,8.830227742999998,10.002,2.51,7.5,8.946666667,0,Cursando,,,,,0,0
RA-1286,Aluno-1286,7,Masculino,2024,ALFA,ALFA C - G0/G1,Pública,Quartzo,5.914801966800001,10.0,7.0,5.051759834,8.002,2.51,5.3125,4.61,0,Cursando,,,,,0,0
RA-1287,Aluno-1287,8,Feminino,2024,ALFA,ALFA C - G0/G1,Pública,Ametista,7.619650310500001,5.0,7.75,9.3064182195,10.002,2.51,8.125,8.223333333,-1,Cursando,,,,,0,0
RA-1288,Aluno-1288,7,Feminino,2024,ALFA,ALFA C - G0/G1,Pública,Ametista,7.9208899585,10.0,10.0,7.9813664595,9.002,2.51,7.1875,7.273333333,0,Cursando,,,,,0,0
RA-1289,Aluno-1289,10,Feminino,2024,ALFA,ALFA D - G2/G3,Pública,Ametista,7.2171722223,5.0,7.75,9.4444444445,7.002,7.51,5.9375,6.166666667,-1,Cursando,,,,,0,0
RA-1290,Aluno-1290,9,Masculino,2024,ALFA,ALFA D - G2/G3,Pública,Topázio,8.407200000000001,5.0,8.75,10.0,10.002,7.51,7.5,8.28,-1,Cursando,,,,,0,0
RA-1291,Aluno-1291,9,Masculino,2024,ALFA,ALFA D - G2/G3,Pública,Topázio,8.079200000000002,5.0,8.25,9.5,9.502,7.51,7.5,7.89,-1,Cursando,,,,,0,0
RA-885,Aluno-885,9,Masculino,2023,ALFA,ALFA D - G2/G3,Pública,Topázio,8.2072,5.0,8.5,10.0,8.502,7.51,7.5,8.28,-1,Cursando,,8.8252,,Topázio,1,0
RA-1292,Aluno-1292,9,Feminino,2024,ALFA,ALFA D - G2/G3,Pública,Agata,6.9031621211,5.0,8.25,4.7727272725,7.502,7.51,7.1875,7.893333333,-1,Cursando,,,,,0,0
RA-1293,Aluno-1293,9,Feminino,2024,ALFA,ALFA D - G2/G3,Pública,Topázio,8.005023232300001,5.0,8.5,9.4949494945,8.002,7.51,6.875,8.336666667,-1,Cursando,,,,,0,0
RA-888,Aluno-888,8,Masculino,2023,ALFA,ALFA D - G2/G3,Pública,Topázio,8.1942,5.0,8.5,10.0,9.002,6.88,7.5,8.28,-1,Cursando,,8.9182,,Topázio,1,0
RA-1294,Aluno-1294,10,Masculino,2024,ALFA,ALFA D - G2/G3,Pública,Ametista,7.9493666666,5.0,7.75,10.0,9.502,7.51,6.875,7.553333333,-2,Cursando,,,,,0,0
RA-1009,Aluno-1009,9,Masculino,2023,ALFA,ALFA E - G2/G3,Pública,Agata,6.395389393900001,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,-1,Cursando,,7.245,,Ametista,1,0
RA-1013,Aluno-1013,8,Masculino,2023,ALFA,ALFA E - G2/G3,Pública,Quartzo,5.7839559808,5.0,7.75,5.6937799039999994,9.002,2.51,5.0,4.72,-1,Cursando,,7.6237,,Ametista,1,0
RA-1295,Aluno-1295,8,Feminino,2024,ALFA,ALFA E - G2/G3,Pública,Topázio,8.0617454545,10.0,7.5,9.5227272725,10.002,2.51,7.5,8.28,0,Cursando,,,,,0,0
RA-1296,Aluno-1296,9,Feminino,2024,ALFA,ALFA E - G2/G3,Pública,Ametista,7.0574222223000005,5.0,6.5,8.4444444445,9.002,2.51,7.5,8.336666667,-1,Cursando,,,,,0,0
RA-863,Aluno-863,8,Masculino,2023,ALFA,ALFA E - G2/G3,Pública,Quartzo,4.6684348484000004,5.0,5.5,3.159090909,8.502,2.51,4.6875,4.333333333,-1,Cursando,,5.92975,,Quartzo,1,0
RA-1297,Aluno-1297,8,Masculino,2024,ALFA,ALFA E - G2/G3,Pública,Ametista,7.620247619000001,5.0,9.25,9.761904762,9.502,2.51,7.5,6.833333333,-1,Cursando,,,,,0,0
RA-1014,Aluno-1014,8,Feminino,2023,ALFA,ALFA E - G2/G3,Pública,Agata,6.315972727300001,5.0,5.25,7.8863636365000005,8.502,2.51,6.875,7.0,-1,Cursando,,8.2582,,Topázio,1,0
RA-880,Aluno-880,8,Feminino,2023,ALFA,ALFA E - G2/G3,Pública,Agata,6.853080434800001,5.0,6.5,8.445652174,9.502,2.51,7.1875,7.22,-1,Cursando,,6.724,,Agata,1,0
RA-886,Aluno-886,8,Feminino,2023,ALFA,ALFA E - G2/G3,Pública,Topázio,8.419200000000002,5.0,8.75,10.0,9.502,8.13,7.5,8.28,-1,Cursando,,8.6422,,Topázio,1,0
RA-1298,Aluno-1298,8,Masculino,2024,ALFA,ALFA E - G2/G3,Pública,Ametista,7.577287995300001,10.0,6.75,6.643356643500001,9.502,7.51,7.1875,7.393333333,0,Cursando,,,,,0,0
RA-1299,Aluno-1299,10,Masculino,2024,ALFA,ALFA E - G2/G3,Pública,Ametista,7.069727777800001,5.0,6.5,7.638888889,8.502,7.51,7.1875,7.11,-2,Cursando,,,,,0,0
RA-904,Aluno-904,8,Feminino,2023,ALFA,ALFA F - G0/G1,Pública,Ametista,7.6352,5.0,6.0,8.75,9.502,7.51,7.5,8.67,-1,Cursando,,8.140783333,,Topázio,1,0
RA-1300,Aluno-1300,8,Feminino,2024,ALFA,ALFA F - G0/G1,Pública,Ametista,7.623866666600001,5.0,9.0,8.75,8.502,2.51,7.5,8.613333333,-1,Cursando,,,,,0,0
RA-1301,Aluno-1301,8,Masculino,2024,ALFA,ALFA F - G0/G1,Pública,Quartzo,5.6345333333,5.0,7.0,2.9166666665000003,9.502,2.51,7.5,6.0,-1,Cursando,,,,,0,0
RA-1302,Aluno-1302,8,Masculino,2024,ALFA,ALFA F - G0/G1,Pública,Quartzo,5.758866666800001,10.0,4.0,5.416666667,10.002,2.51,6.25,4.996666667,0,Cursando,,,,,0,0
RA-1303,Aluno-1303,8,Feminino,2024,ALFA,ALFA F - G0/G1,Pública,Topázio,8.8352,10.0,10.0,10.0,10.002,2.51,7.5,9.17,0,Cursando,,,,,0,0
RA-1304,Aluno-1304,10,Feminino,2024,ALFA,ALFA G - G2/G3,Pública,Ametista,7.085119934500001,5.0,6.0,7.9575163395,9.002,8.135,7.8125,6.493333333,-2,Cursando,,,,,0,0
RA-1305,Aluno-1305,10,Feminino,2024,ALFA,ALFA G - G2/G3,Pública,Agata,6.685221929800001,5.0,4.75,8.710526316,8.502,2.51,7.8125,8.053333333,-1,Cursando,,,,,0,0
RA-1306,Aluno-1306,8,Feminino,2024,ALFA,ALFA G - G2/G3,Pública,Topázio,8.503033333400001,5.0,9.75,10.0,9.002,8.135,7.5,7.946666667,-1,Cursando,,,,,0,0
RA-702,Aluno-702,10,Feminino,2022,ALFA,ALFA G - G2/G3,Pública,Ametista,7.665116666600001,5.0,9.25,9.75,9.002,2.51,7.8125,7.163333333,-2,Cursando,7.387203380952382,8.239866667,Ametista,Topázio,2,0
RA-725,Aluno-725,10,Masculino,2022,ALFA,ALFA G - G2/G3,Pública,Ametista,7.0900771929,5.0,7.25,7.6710526315,7.502,7.51,7.5,6.773333333,-1,Cursando,6.330304030303031,8.117366667,Ágata,Topázio,2,0
RA-912,Aluno-912,10,Feminino,2023,ALFA,ALFA G - G2/G3,Pública,Ametista,7.697103508700001,5.0,7.25,9.4736842105,9.002,7.51,8.125,6.943333333,-2,Cursando,,7.0797,,Ametista,1,0
RA-918,Aluno-918,8,Feminino,2023,ALFA,ALFA G - G2/G3,Pública,Quartzo,5.657357017600001,5.0,2.75,8.697368421,7.918,2.51,5.9375,6.156666667,-1,Cursando,,7.4967,,Ametista,1,0
RA-920,Aluno-920,9,Feminino,2023,ALFA,ALFA G - G2/G3,Pública,Ametista,7.7494938597,5.0,8.25,7.6710526315,9.502,7.51,7.1875,8.226666667,-1,Cursando,,6.9647,,Agata,1,0
RA-1307,Aluno-1307,8,Masculino,2024,ALFA,ALFA H - G0/G1,Pública,Agata,6.5940333333000005,10.0,5.5,5.833333333500001,10.002,6.255,6.25,5.383333333,0,Cursando,,,,,0,0
RA-1308,Aluno-1308,9,Feminino,2024,ALFA,ALFA H - G0/G1,Pública,Agata,6.876997101400001,5.0,6.0,7.445652174,10.002,7.51,7.5,5.933333333,-1,Cursando,,,,,0,0
RA-1309,Aluno-1309,7,Feminino,2024,ALFA,ALFA H - G0/G1,Pública,Topázio,8.379199999899999,10.0,7.5,9.1666666665,9.002,7.51,7.5,8.223333333,0,Cursando,,,,,0,0
RA-1310,Aluno-1310,7,Feminino,2024,ALFA,ALFA H - G0/G1,Pública,Topázio,8.3907833334,10.0,10.0,9.375,8.502,2.51,7.8125,8.166666667,0,Cursando,,,,,0,0
RA-1311,Aluno-1311,8,Masculino,2024,ALFA,ALFA H - G0/G1,Pública,Agata,6.4118666668,10.0,0.0,9.166666667,9.002,2.51,7.5,8.386666667,0,Cursando,,,,,0,0
RA-1312,Aluno-1312,9,Masculino,2024,ALFA,ALFA H - G0/G1,Pública,Ametista,7.510200000000001,5.0,6.5,8.333333333,10.002,7.51,6.25,8.336666667,-1,Cursando,,,,,0,0
RA-1313,Aluno-1313,8,Masculino,2024,ALFA,ALFA H - G0/G1,Pública,Topázio,8.0155333334,10.0,6.25,8.125,9.502,7.51,7.5,8.446666667,0,Cursando,,,,,0,0
RA-1314,Aluno-1314,7,Feminino,2024,ALFA,ALFA H - G0/G1,Pública,Topázio,8.239799999999999,10.0,9.0,8.541666667,7.418,7.51,7.5,7.443333333,0,Cursando,,,,,0,0
RA-1315,Aluno-1315,7,Masculino,2024,ALFA,ALFA H - G0/G1,Pública,Topázio,8.3510666667,10.0,9.0,8.3333333335,6.834,7.51,7.5,8.5,0,Cursando,,,,,0,0
RA-921,Aluno-921,8,Feminino,2023,ALFA,ALFA I - G2/G3,Pública,Ametista,7.2838203209,5.0,6.0,8.6631016045,8.502,7.51,7.5,7.5,-1,Cursando,,7.7407,,Ametista,1,0
RA-1316,Aluno-1316,9,Feminino,2024,ALFA,ALFA I - G2/G3,Pública,Ametista,7.59291123,5.0,7.75,8.20855615,9.002,7.51,7.5,7.5,-1,Cursando,,,,,0,0
RA-1317,Aluno-1317,9,Feminino,2024,ALFA,ALFA I - G2/G3,Pública,Ametista,7.665638502700001,5.0,10.0,7.0721925135,7.502,7.51,7.5,7.5,-1,Cursando,,,,,0,0
RA-897,Aluno-897,10,Masculino,2023,ALFA,ALFA I - G2/G3,Pública,Quartzo,5.2212050505,5.0,6.0,2.7525252525,7.002,2.51,6.875,6.66,-1,Cursando,,5.48225,,Quartzo,1,0
RA-908,Aluno-908,9,Feminino,2023,ALFA,ALFA I - G2/G3,Pública,Agata,6.764292246,5.0,4.75,8.14171123,8.502,7.51,7.1875,6.83,-1,Cursando,,8.479366667,,Topázio,1,0
RA-916,Aluno-916,10,Feminino,2023,ALFA,ALFA I - G2/G3,Pública,Quartzo,5.5058531621,5.0,2.75,7.3320158105,8.502,2.51,6.5625,6.16,-2,Cursando,,7.3882,,Ametista,1,0
RA-924,Aluno-924,9,Masculino,2023,ALFA,ALFA I - G2/G3,Pública,Agata,6.4727360962,5.0,7.0,4.598930481,7.002,7.51,7.1875,7.415,-1,Cursando,,6.5207,,Agata,1,0
RA-925,Aluno-925,8,Masculino,2023,ALFA,ALFA I - G2/G3,Pública,Agata,6.587019518800001,5.0,4.75,7.005347594,8.002,7.51,7.1875,7.33,-1,Cursando,,7.1837,,Ametista,1,0
RA-1008,Aluno-1008,9,Masculino,2023,ALFA,ALFA I - G2/G3,Pública,Agata,6.8667414438000005,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,-1,Cursando,,8.13595,,Topázio,1,0
RA-919,Aluno-919,10,Masculino,2023,ALFA,ALFA I - G2/G3,Pública,Quartzo,5.799702673800001,5.0,5.25,4.692513369,7.002,6.255,6.875,6.49,-2,Cursando,,6.225,,Agata,1,0
RA-1318,Aluno-1318,8,Feminino,2024,ALFA,ALFA I - G2/G3,Pública,Agata,6.823383155100001,5.0,5.0,7.6871657755000005,8.502,7.51,7.1875,7.33,-1,Cursando,,,,,0,0
RA-1003,Aluno-1003,9,Masculino,2023,ALFA,ALFA J - G2/G3,Pública,Ametista,7.627588888900001,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,-1,Cursando,,7.6522,,Ametista,1,0
RA-1004,Aluno-1004,9,Feminino,2023,ALFA,ALFA J - G2/G3,Pública,Ametista,7.801200000000001,5.0,7.5,9.25,9.502,7.51,7.5,7.5,-1,Cursando,,8.3137,,Topázio,1,0
RA-1006,Aluno-1006,9,Feminino,2023,ALFA,ALFA J - G2/G3,Pública,Ametista,7.040088888900001,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,-1,Cursando,,8.5922,,Topázio,1,0
RA-1319,Aluno-1319,9,Masculino,2024,ALFA,ALFA J - G2/G3,Pública,Ametista,7.201526797300001,5.0,8.5,5.7516339865,8.502,7.51,7.5,7.5,-1,Cursando,,,,,0,0
RA-858,Aluno-858,9,Masculino,2022,ALFA,ALFA J - G2/G3,Pública,Agata,6.917866666700001,5.0,8.25,6.833333333500001,9.002,2.51,7.5,7.5,-1,Cursando,7.523491593073594,7.248833333,Ametista,Ametista,2,0
RA-905,Aluno-905,10,Masculino,2023,ALFA,ALFA J - G2/G3,Pública,Agata,6.3925823529,5.0,3.0,7.7794117645,9.002,7.51,6.875,6.99,-2,Cursando,,7.831033333,,Ametista,1,0
RA-907,Aluno-907,9,Feminino,2023,ALFA,ALFA J - G2/G3,Privada,Ametista,7.9400888889,5.0,8.75,8.9444444445,9.002,7.51,7.5,7.5,-1,Cursando,,8.962033333,,Topázio,1,0
RA-1320,Aluno-1320,10,Masculino,2024,ALFA,ALFA J - G2/G3,Pública,Ametista,7.8845333333,5.0,8.25,9.1666666665,9.002,7.51,7.5,7.5,-1,Cursando,,,,,0,0
RA-909,Aluno-909,11,Feminino,2023,ALFA,ALFA J - G2/G3,Pública,Ametista,7.722033333300001,5.0,8.25,8.1666666665,10.002,7.51,6.875,7.5,-2,Cursando,,8.486033333,,Topázio,1,0
RA-729,Aluno-729,10,Feminino,2022,ALFA,ALFA J - G2/G3,Pública,Agata,6.684533333300001,5.0,6.0,8.4166666665,8.002,2.51,7.5,7.5,-1,Cursando,8.154543650793652,7.26545,Topázio,Ametista,2,0
RA-1321,Aluno-1321,7,Masculino,2024,ALFA,ALFA K - G0/G1,Pública,Ametista,7.95295,10.0,8.75,8.875,9.002,6.885,6.5625,5.915,0,Cursando,,,,,0,0
RA-1322,Aluno-1322,8,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.47795,10.0,7.5,9.0,9.502,7.51,8.4375,8.165,0,Cursando,,,,,0,0
RA-1323,Aluno-1323,9,Masculino,2024,ALFA,ALFA K - G0/G1,Pública,Ametista,7.487366666700001,5.0,7.0,9.0833333335,10.002,7.51,6.875,6.66,-1,Cursando,,,,,0,0
RA-1324,Aluno-1324,9,Masculino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.332450000000001,5.0,8.5,10.0,10.002,7.51,7.8125,8.0,-1,Cursando,,,,,0,0
RA-931,Aluno-931,9,Masculino,2023,ALFA,ALFA K - G0/G1,Pública,Ametista,7.075466666700001,5.0,8.5,8.5833333335,7.918,2.51,7.5,6.83,-1,Cursando,,7.3747,,Ametista,1,0
RA-1325,Aluno-1325,8,Masculino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.9824954545,10.0,10.0,9.5227272725,9.002,7.51,8.4375,7.915,0,Cursando,,,,,0,0
RA-1326,Aluno-1326,8,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Ametista,7.6397833333000005,10.0,4.5,9.2916666665,9.002,7.51,7.8125,7.245,0,Cursando,,,,,0,0
RA-1327,Aluno-1327,7,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.264116666700001,10.0,7.5,9.3333333335,9.002,7.51,7.8125,7.325,0,Cursando,,,,,0,0
RA-1328,Aluno-1328,8,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.0588666667,5.0,10.0,8.2083333335,8.502,7.51,7.5,7.83,-1,Cursando,,,,,0,0
RA-1329,Aluno-1329,8,Masculino,2024,ALFA,ALFA K - G0/G1,Pública,Ametista,7.98945,10.0,6.5,10.0,9.502,7.51,6.5625,6.66,0,Cursando,,,,,0,0
RA-1330,Aluno-1330,8,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Topázio,8.944616666700002,10.0,9.5,9.3333333335,10.002,7.51,8.4375,7.915,0,Cursando,,,,,0,0
RA-1331,Aluno-1331,7,Feminino,2024,ALFA,ALFA K - G0/G1,Pública,Ametista,7.8522833333,10.0,7.25,7.291666666499999,9.002,7.51,8.4375,7.245,0,Cursando,,,,,0,0
RA-944,Aluno-944,10,Feminino,2023,ALFA,ALFA L - G2/G3,Pública,Ametista,7.8262,5.0,9.0,7.25,9.002,7.51,8.75,7.75,-2,Cursando,,7.0687,,Ametista,1,0
RA-1332,Aluno-1332,10,Masculino,2024,ALFA,ALFA L - G2/G3,Pública,Topázio,8.1040529412,5.0,8.25,9.411764706,8.502,7.51,9.375,7.665,-2,Cursando,,,,,0,0
RA-754,Aluno-754,11,Masculino,2022,ALFA,ALFA L - G2/G3,Pública,Quartzo,5.6127,5.0,6.25,6.25,8.502,5.625,2.5,4.75,-2,Cursando,6.602085000000001,6.0537,Ágata,Agata,2,0
RA-1333,Aluno-1333,9,Masculino,2024,ALFA,ALFA L - G2/G3,Pública,Topázio,8.213199999999999,5.0,9.25,10.0,7.502,6.255,9.375,7.75,-1,Cursando,,,,,0,0
RA-934,Aluno-934,9,Feminino,2023,ALFA,ALFA L - G2/G3,Pública,Topázio,8.338700000000001,5.0,8.5,9.75,9.502,7.51,9.375,7.75,-1,Cursando,,9.1737,,Topázio,1,0
RA-1334,Aluno-1334,9,Masculino,2024,ALFA,ALFA L - G2/G3,Pública,Topázio,8.350200000000001,5.0,9.0,10.0,10.002,5.625,9.375,7.75,-1,Cursando,,,,,0,0
RA-941,Aluno-941,9,Feminino,2023,ALFA,ALFA L - G2/G3,Pública,Ametista,7.746700000000001,5.0,8.75,9.25,8.002,5.01,8.125,7.665,-1,Cursando,,7.6872,,Ametista,1,0
RA-756,Aluno-756,11,Masculino,2022,ALFA,ALFA L - G2/G3,Pública,Ametista,7.361700000000001,5.0,5.5,8.75,10.002,7.51,8.125,7.24,-2,Cursando,6.9760288087452,7.0927,Ágata,Ametista,2,0
RA-1335,Aluno-1335,10,Masculino,2024,ALFA,ALFA L - G2/G3,Pública,Topázio,8.3217,5.0,8.75,9.75,9.002,7.51,9.375,7.665,-2,Cursando,,,,,0,0
RA-773,Aluno-773,10,Feminino,2022,ALFA,ALFA L - G2/G3,Pública,Agata,6.566200000000001,5.0,5.0,8.75,10.002,2.51,7.5,6.575,-2,Cursando,6.921727523809524,6.9287,Ágata,Agata,2,0
RA-938,Aluno-938,10,Masculino,2023,ALFA,ALFA L - G2/G3,Pública,Topázio,8.0056026915,5.0,7.75,9.544513457499999,9.502,7.51,8.125,7.665,-1,Cursando,,6.7372,,Agata,1,0
RA-1336,Aluno-1336,8,Feminino,2024,ALFA,ALFA M - G0/G1,Pública,Ametista,7.141365631500001,5.0,9.5,6.2008281575,9.502,2.51,7.5,7.75,-1,Cursando,,,,,0,0
RA-1337,Aluno-1337,10,Masculino,2024,ALFA,ALFA M - G0/G1,Pública,Agata,6.015144444400001,5.0,6.0,4.722222222,8.002,7.51,6.875,5.66,-2,Cursando,,,,,0,0
RA-1338,Aluno-1338,8,Masculino,2024,ALFA,ALFA M - G0/G1,Pública,Agata,6.1368428571,5.0,3.0,8.6607142855,8.002,7.51,6.875,5.33,-1,Cursando,,,,,0,0
RA-1339,Aluno-1339,8,Feminino,2024,ALFA,ALFA M - G0/G1,Pública,Ametista,7.3547,5.0,8.75,10.0,8.502,6.885,5.0,5.33,-1,Cursando,,,,,0,0
RA-1340,Aluno-1340,8,Feminino,2024,ALFA,ALFA M - G0/G1,Pública,Topázio,8.3422714286,10.0,10.0,8.392857143,9.502,7.51,5.625,7.0,0,Cursando,,,,,0,0
RA-1341,Aluno-1341,9,Masculino,2024,ALFA,ALFA M - G0/G1,Pública,Ametista,7.862906349200001,5.0,10.0,9.246031746,10.002,7.51,5.625,6.0,-1,Cursando,,,,,0,0
RA-947,Aluno-947,9,Masculino,2023,ALFA,ALFA M - G0/G1,Pública,Agata,6.053509523800001,5.0,4.5,7.619047619,9.002,7.51,5.625,4.58,-1,Cursando,,6.3457,,Agata,1,0
RA-1342,Aluno-1342,8,Masculino,2024,ALFA,ALFA M - G0/G1,Pública,Ametista,7.8185809524000005,5.0,9.0,9.761904762,9.502,7.51,7.5,5.575,-1,Cursando,,,,,0,0
RA-1343,Aluno-1343,7,Feminino,2024,ALFA,ALFA M - G0/G1,Pública,Topázio,8.8262,10.0,9.75,10.0,8.002,7.51,6.25,8.5,0,Cursando,,,,,0,0
RA-1344,Aluno-1344,8,Feminino,2024,ALFA,ALFA N - G2/G3,Pública,Topázio,9.3612,10.0,10.0,10.0,8.502,7.51,8.75,9.425,0,Cursando,,,,,0,0
RA-945,Aluno-945,9,Masculino,2023,ALFA,ALFA N - G2/G3,Pública,Ametista,7.4195809524000005,5.0,8.75,9.511904762,9.002,2.51,7.5,6.83,-1,Cursando,,8.0777,,Topázio,1,0
RA-946,Aluno-946,8,Masculino,2023,ALFA,ALFA N - G2/G3,Pública,Agata,6.677723809500001,5.0,4.5,8.7976190475,9.502,2.51,7.5,7.835,-1,Cursando,,8.5822,,Topázio,1,0
RA-1345,Aluno-1345,9,Masculino,2023,ALFA,ALFA N - G2/G3,Pública,Ametista,7.2340128655000004,5.0,6.25,9.4590643275,8.502,7.51,6.25,6.83,-1,Cursando,,,,,1,0
RA-771,Aluno-771,9,Feminino,2022,ALFA,ALFA N - G2/G3,Pública,Agata,6.066009523800001,5.0,6.5,6.619047619,8.502,3.135,5.625,6.08,-1,Cursando,7.873412973084886,7.056,Ametista,Ametista,2,0
RA-1346,Aluno-1346,8,Masculino,2024,ALFA,ALFA N - G2/G3,Pública,Ametista,7.3701047619,10.0,5.5,8.0595238095,9.502,7.51,6.25,6.66,0,Cursando,,,,,0,0
RA-1347,Aluno-1347,9,Masculino,2024,ALFA,ALFA N - G2/G3,Pública,Agata,6.153842857100001,5.0,5.0,8.7857142855,8.502,2.51,5.625,6.165,-1,Cursando,,,,,0,0
RA-949,Aluno-949,9,Feminino,2023,ALFA,ALFA N - G2/G3,Pública,Ametista,7.1323428571,5.0,6.5,8.7857142855,9.002,7.51,6.25,6.495,-1,Cursando,,8.0172,,Topázio,1,0
RA-950,Aluno-950,9,Feminino,2023,ALFA,ALFA N - G2/G3,Pública,Ametista,7.693461904800001,5.0,7.0,9.023809524,9.502,7.51,6.875,8.0,-1,Cursando,,8.8862,,Topázio,1,0
RA-951,Aluno-951,8,Feminino,2023,ALFA,ALFA N - G2/G3,Privada,Agata,6.4483428571,5.0,4.0,9.0357142855,10.002,2.51,6.25,7.325,-1,Cursando,,8.8902,,Topázio,1,0
